metric_name,cell_line,ablation_type,boot_idx,beta_x1_restricted,beta_x1_full,beta_x2,r2_restricted,r2_full,delta_r2,partial_r2_x2,cohen_f2_x2,n_boot_rows,n_group_rows
mae,U2-OS,GridDistortion,0,0.013615178577145143,0.013625910258322516,1.5831246414118976e-06,0.023389479834063365,0.0752170198959532,0.05182754006188983,0.05306879149026961,0.05604292161179128,9630,19260
mae,U2-OS,GridDistortion,1,0.014911888539672565,0.014828993064476133,1.532885372987366e-06,0.028690664289156786,0.07833681044114715,0.04964614615199037,0.051112600617245506,0.05386582291059397,9630,19260
mae,U2-OS,GridDistortion,2,0.013708667904602513,0.013546135703351225,1.6275050032038253e-06,0.024037502615804507,0.08024911719102434,0.05621161457521984,0.0575960805111671,0.06111613005855033,9630,19260
mae,U2-OS,GridDistortion,3,0.012958309069877261,0.013055846496266704,1.4988408584716476e-06,0.021799998926374964,0.06993165833305282,0.04813165940667785,0.04920431338565822,0.05175066954801646,9630,19260
mae,U2-OS,GridDistortion,4,0.013155197835974195,0.013648816827531463,1.6011496802198593e-06,0.022156097542913478,0.07630295459467706,0.054146857051763586,0.05537372265215906,0.0586197144627692,9630,19260
mae,U2-OS,GridDistortion,5,0.013319705247175405,0.013658618565598638,1.552863518280758e-06,0.022678555842434056,0.07285449152844103,0.05017593568600698,0.051340258607809185,0.05411872810420477,9630,19260
mae,U2-OS,GridDistortion,6,0.013651627729980688,0.01382254092986571,1.6604525728720866e-06,0.023870818585754905,0.08214790125850124,0.05827708267274634,0.05970222362199311,0.06349289036071522,9630,19260
mae,U2-OS,GridDistortion,7,0.015259909205733318,0.015561246666854435,1.543862423063132e-06,0.02997401535544597,0.07970501833598209,0.04973100298053612,0.051267701863428966,0.05403811166134551,9630,19260
mae,U2-OS,GridDistortion,8,0.0140347742855897,0.013966556758756082,1.6005756245553377e-06,0.024955945705588012,0.07764638869735008,0.052690442991762065,0.05403903829749658,0.057126076535166145,9630,19260
mae,U2-OS,GridDistortion,9,0.01466561827926758,0.014633444130566609,1.6098505874729813e-06,0.0270075610480629,0.08059200945226475,0.053584448404201845,0.055071803499234344,0.058281469113923005,9630,19260
