metric_name,cell_line,ablation_type,boot_idx,beta_x1_restricted,beta_x1_full,beta_x2,r2_restricted,r2_full,delta_r2,partial_r2_x2,cohen_f2_x2,n_boot_rows,n_group_rows
mae,U2-OS,GridDistortion,0,0.015807391635220686,0.015752101144485327,-0.002692699483387621,0.029578848432514904,0.03163637832485877,0.002057529892343868,0.00212024427643649,0.002124749263902141,3384,6768
mae,U2-OS,GridDistortion,1,0.015416785663088479,0.01532650644005911,-0.0027408013525922394,0.028221625304433062,0.03037899998472704,0.0021573746802939775,0.002220027463535425,0.002224966951272709,3384,6768
mae,U2-OS,GridDistortion,2,0.01309291972940547,0.01312586872531104,-0.0022816133018430116,0.020699191852416865,0.022199847335169554,0.0015006554827526886,0.0015323743943306703,0.0015347261694149909,3384,6768
mae,U2-OS,GridDistortion,3,0.013609513376870726,0.013635303974961328,-0.00261908249887818,0.02220905002799245,0.024212556210378988,0.0020035061823865385,0.0020490128104007255,0.0020532198842461154,3384,6768
mae,U2-OS,GridDistortion,4,0.018669807175876154,0.018596363893602988,-0.0037614988810820036,0.03908310822285077,0.04296146955537383,0.0038783613325230615,0.004036104855384841,0.0040524610129554885,3384,6768
mae,U2-OS,GridDistortion,5,0.012744139088939375,0.01279776193260232,-0.001864037130190161,0.019190612176498423,0.020175130702401844,0.0009845185259034217,0.0010037817114374801,0.001004790301566022,3384,6768
mae,U2-OS,GridDistortion,6,0.013528924053725171,0.01359385245561313,-0.002458094117732685,0.021644869157259605,0.023361489457855766,0.001716620300596161,0.00175459835235646,0.0017576823789625536,3384,6768
mae,U2-OS,GridDistortion,7,0.013884479921748811,0.013977522377141807,-0.0022234990862676305,0.023105462324427894,0.024548552342554264,0.0014430900181263695,0.0014772219133910457,0.0014794073263123054,3384,6768
mae,U2-OS,GridDistortion,8,0.012905194499752701,0.01285598252299586,-0.00194097829493722,0.02083103150650989,0.02195780968129124,0.001126778174781351,0.0011507494733160983,0.0011520752232724997,3384,6768
mae,U2-OS,GridDistortion,9,0.01282428640108388,0.012919576625326779,-0.0037724458378915566,0.019523699395295635,0.02357158698744677,0.004047887592151134,0.004128491009578321,0.004145606107120823,3384,6768
mae,U2-OS,GridDistortion,10,0.015765070265241314,0.015728191761359422,-0.002151033019104031,0.02907165212882623,0.030387367592153436,0.001315715463327205,0.001355110772295402,0.0013569495893013261,3384,6768
mae,U2-OS,GridDistortion,11,0.012871603296531252,0.012897728100465434,-0.00123519269984843,0.019697196118624527,0.02013940219031285,0.0004422060716883225,0.0004510913056021749,0.00045129488079916617,3384,6768
mae,U2-OS,GridDistortion,12,0.015266972297546297,0.015328218861637107,-0.002544180890618616,0.027317165672624655,0.029149307033167315,0.0018321413605426606,0.0018835958607305058,0.0018871504895812568,3384,6768
mae,U2-OS,GridDistortion,13,0.015521074889352799,0.015577719215778305,-0.003126353718534508,0.027410459759173,0.030072026459205814,0.0026615667000328136,0.002736577548812392,0.0027440869555669855,3384,6768
mae,U2-OS,GridDistortion,14,0.01760710805410057,0.01756489443210753,-0.0016464914669632857,0.03724563559755334,0.03802292574460331,0.0007772901470499693,0.0008073608137132782,0.0008080131718852225,3384,6768
mae,U2-OS,GridDistortion,15,0.01720877569108974,0.017162403176182558,-0.0022519578041825636,0.03320716726811457,0.03459003709403963,0.0013828698259250594,0.0014303683055008351,0.0014324171896491638,3384,6768
mae,U2-OS,GridDistortion,16,0.014991361754693549,0.014873870210219131,-0.004325252755287259,0.026783964175025265,0.03215407900811651,0.005370114833091244,0.005517906236038446,0.005548522462736379,3384,6768
mae,U2-OS,GridDistortion,17,0.013901578743329162,0.013834606519094631,-0.0026010935386653355,0.023848288002575546,0.025862581814577346,0.0020142938120017995,0.0020635048704469353,0.0020677717274775577,3384,6768
mae,U2-OS,GridDistortion,18,0.013405477985254793,0.013353596236989998,-0.0029685471774781747,0.021190208960577217,0.023663678823209855,0.002473469862632638,0.00252701789998034,0.00253341989740926,3384,6768
mae,U2-OS,GridDistortion,19,0.017523924264034933,0.017472265798414655,-0.00224551319370549,0.03634449868113443,0.03776105262790863,0.0014165539467742017,0.001469979619101947,0.0014721436402495042,3384,6768
mae,U2-OS,GridDistortion,20,0.014662165107983873,0.014741276316405049,-0.004387883294448242,0.0244891795747616,0.029835080527237712,0.0053459009524761125,0.00548010420852714,0.005510301233507135,3384,6768
mae,U2-OS,GridDistortion,21,0.014596185342269679,0.014675870836089532,-0.003270897385066339,0.025754883627897573,0.028941427885841087,0.0031865442579435133,0.003270782890664701,0.003281516017108903,3384,6768
mae,U2-OS,GridDistortion,22,0.015683533227298388,0.01571193171136117,-0.002751552938928141,0.027097797915561328,0.029144099089016606,0.0020463011734552783,0.0021032958596157838,0.002107729037373283,3384,6768
mae,U2-OS,GridDistortion,23,0.013751002974163703,0.013771711494108822,-0.0039873239235243396,0.02145065087561837,0.025834503266298214,0.004383852390679843,0.0044799502392010885,0.0045001105103584,3384,6768
