metric_name,ablation_type,boot_idx,beta_x1_restricted,beta_x1_full,beta_x2,r2_restricted,r2_full,delta_r2,partial_r2_x2,cohen_f2_x2,n_boot_rows,n_group_rows
mae,GridDistortion,0,0.023542638394162624,0.023619372918824478,,0.043379582841854725,0.19253490781235127,0.14915532497049655,0.15591902733332388,0.18472046211483034,31860,63720
mae,GridDistortion,1,0.0239482091665464,0.023869000853919985,,0.043358912573475794,0.19826780947062417,0.15490889689714837,0.16193000586444736,0.19321775865686966,31860,63720
mae,GridDistortion,2,0.023277993851961457,0.02312322242891521,,0.040911354150517054,0.19082932037902256,0.1499179662285055,0.15631294028689113,0.18527360173100732,31860,63720
mae,GridDistortion,3,0.022768374220434713,0.022471226940424607,,0.03994843490708311,0.19510291554519832,0.1551544806381152,0.1616105699729773,0.1927631291436586,31860,63720
mae,GridDistortion,4,0.024778785556411474,0.024081327008337063,,0.04579630759051656,0.20272988161535743,0.15693357402484087,0.1644654860101872,0.1968386502968475,31860,63720
mae,GridDistortion,5,0.024269340036707308,0.02398436039739404,,0.0455511843628259,0.20150961366858755,0.15595842930576165,0.16340156407616935,0.1953166023980548,31860,63720
mae,GridDistortion,6,0.023086373426350858,0.02310124059015496,,0.04164541756765949,0.19820275639959173,0.15655733883193224,0.16336055746150213,0.19525801576583585,31860,63720
mae,GridDistortion,7,0.023330854327722004,0.02366470199589059,,0.042010700426727166,0.19811561133986422,0.15610491091313705,0.1629505788662488,0.1946725901148567,31860,63720
mae,GridDistortion,8,0.02273301358234479,0.022923613243178282,,0.040494805715499016,0.1945033085143757,0.15400850279887668,0.16050825333334456,0.1911969402566134,31860,63720
mae,GridDistortion,9,0.023619823171644048,0.023200325962510714,,0.043235199622550735,0.19347939034339534,0.1502441907208446,0.15703356839797242,0.18628685854018615,31860,63720
mae,GridDistortion,10,0.0238076845010852,0.02338367788481395,,0.042668646666109034,0.19875819725861188,0.15608955059250285,0.16304652516490087,0.1948095444576834,31860,63720
mae,GridDistortion,11,0.02223121144425869,0.022513213290985053,,0.03919187490620146,0.19817919987437205,0.15898732496817058,0.1654725025900978,0.1982828643797476,31860,63720
mae,GridDistortion,12,0.023622466415793686,0.023638083083559955,,0.04243326245449641,0.1914174940388922,0.14898423158439578,0.15558626437493192,0.18425359253513432,31860,63720
mae,GridDistortion,13,0.02433741365646782,0.024083648771109988,,0.04574948858558736,0.20360898057337706,0.1578594919877897,0.16542772584298293,0.19821857371199852,31860,63720
mae,GridDistortion,14,0.02425478503182687,0.024345975817616036,,0.04517089868903257,0.20102336543886123,0.15585246674982867,0.16322550971251854,0.1950651120547914,31860,63720
mae,GridDistortion,15,0.02351401621426228,0.023584016318556625,,0.04243936992130437,0.19613865386193308,0.1536992839406287,0.1605112815968605,0.19120123722708535,31860,63720
mae,GridDistortion,16,0.023487107955434957,0.02360748446103169,,0.042347730455578936,0.19547445153428544,0.1531267210787065,0.15989804018482898,0.1903317071418424,31860,63720
mae,GridDistortion,17,0.024060620573910566,0.02415402976053648,,0.04456617500757354,0.19183659048661428,0.14727041547904074,0.15413983849714355,0.18222851188934147,31860,63720
mae,GridDistortion,18,0.023633155085447697,0.023375170164206295,,0.04311425726315243,0.1931632598360562,0.15004900257290377,0.15680973795652908,0.18597195083408674,31860,63720
mae,GridDistortion,19,0.022374034304894725,0.02254636143727885,,0.039927538223042736,0.194859430944183,0.15493189272114027,0.16137520748630102,0.19242837670299967,31860,63720
mae,GridDistortion,20,0.023472430640217406,0.02340398134807142,,0.0426382050492462,0.20060726516909722,0.157969060119851,0.16500455831118355,0.19761132824564204,31860,63720
mae,GridDistortion,21,0.023738920546860418,0.023894402418140663,,0.04332919122519696,0.20500466137930973,0.16167547015411277,0.16899801757426738,0.20336656367648426,31860,63720
mae,GridDistortion,22,0.022914132858364498,0.02273051473405882,,0.04063489687435795,0.18992993671514613,0.14929503984078818,0.1556185849937424,0.18429892253442023,31860,63720
mae,GridDistortion,23,0.023201879664172125,0.02330639839127924,,0.04197905817074621,0.19419801197721187,0.15221895380646566,0.15888896281934864,0.18890367121079987,31860,63720
mae,GridDistortion,24,0.0233900404082602,0.023528085550081096,,0.04254449206455191,0.19582957047464689,0.15328507841009498,0.16009629391617589,0.1906126770920546,31860,63720
mae,GridDistortion,25,0.02326638870432788,0.023158258842342364,,0.041801875911231745,0.20179750076118985,0.1599956248499581,0.16697551459110974,0.200444905901115,31860,63720
mae,GridDistortion,26,0.024175736845843166,0.024102305488318283,,0.044320834002424925,0.2003024138073497,0.15598157980492477,0.1632154234963416,0.1950507072899282,31860,63720
mae,GridDistortion,27,0.02455557623064805,0.024576994724931113,,0.04697024114764625,0.20588813680244633,0.15891789565480008,0.16675019240340438,0.20012028911758692,31860,63720
mae,GridDistortion,28,0.024145566962926298,0.023715738235783802,,0.04448884002694997,0.19508530218914621,0.15059646216219624,0.1576082713324288,0.1870961762429946,31860,63720
mae,GridDistortion,29,0.02308927710690768,0.023089691510528157,,0.04203990414965564,0.19116271881406266,0.14912281466440702,0.15566704219765692,0.18436689076171098,31860,63720
mae,GridDistortion,30,0.0229389405364932,0.02264853684864977,,0.041134816450234535,0.19326424452406243,0.1521294280738279,0.15865570122239434,0.1885740492363307,31860,63720
mae,GridDistortion,31,0.022644598801871425,0.022351115064908975,,0.04083022581695672,0.193927937595208,0.15309771177825127,0.159614820961857,0.18993055201728218,31860,63720
mae,GridDistortion,32,0.0227633774570258,0.022698627443383707,,0.03998898711763332,0.1932967258950855,0.15330773877745218,0.15969372925958036,0.1900422915074397,31860,63720
mae,GridDistortion,33,0.02320128940935432,0.023236729036491367,,0.043453110655664706,0.19765416053710083,0.15420104988143613,0.16120594985901127,0.1921877603112647,31860,63720
mae,GridDistortion,34,0.02412705573793115,0.023946266939452208,,0.04469590474871654,0.19409326612625333,0.14939736137753679,0.15638723011884426,0.18537797873884174,31860,63720
mae,GridDistortion,35,0.024476082893653522,0.024560839326384667,,0.046822246300982306,0.2009604143543896,0.1541381680534073,0.16170978335912684,0.19290429513434718,31860,63720
mae,GridDistortion,36,0.023439560176861503,0.02341944362885278,,0.041688799075893956,0.19436919757465698,0.15268039849876303,0.15932235619445154,0.18951658506492092,31860,63720
mae,GridDistortion,37,0.023128569829628732,0.023443009145944885,,0.04260806439011244,0.19050407655266166,0.14789601216254922,0.15447802165613084,0.18270136745434837,31860,63720
mae,GridDistortion,38,0.023440364100502636,0.02358291439930099,,0.04278291735183748,0.19462664458166068,0.1518437272298232,0.15863039845647564,0.18853830488463355,31860,63720
mae,GridDistortion,39,0.0240880322469324,0.024006852148606855,,0.045020110766648136,0.19631049475816664,0.1512903839915185,0.15842258637820414,0.1882448171896865,31860,63720
mae,GridDistortion,40,0.02403033631771247,0.024272918497057323,,0.044743244247930414,0.1954302602416419,0.15068701599371148,0.15774504088701916,0.1872889428316908,31860,63720
mae,GridDistortion,41,0.024344599853251978,0.023995798454620434,,0.04468898547122513,0.20013688823485665,0.15544790276363152,0.16271968018740904,0.19434313256500607,31860,63720
mae,GridDistortion,42,0.023260974158322918,0.02343439127995878,,0.04210933297344588,0.20230368378512142,0.16019435081167555,0.16723657127691247,0.2008212242621456,31860,63720
mae,GridDistortion,43,0.023979022754325254,0.02428660984723745,,0.04353923006708493,0.19840799543364118,0.15486876536655625,0.16191857547635596,0.19320148465095577,31860,63720
mae,GridDistortion,44,0.023554071214275222,0.023297994704005776,,0.04297368417844771,0.1984657734463603,0.15549208926791258,0.16247420441561372,0.19399307492642281,31860,63720
mae,GridDistortion,45,0.023866300279441272,0.023509714424621887,,0.044706893168434236,0.20027786335199138,0.15557097018355714,0.16285155736079954,0.19453127912105111,31860,63720
mae,GridDistortion,46,0.02325917232172649,0.023393308399948475,,0.041896585858354984,0.19179233509306448,0.1498957492347095,0.1564504906487569,0.18546687410094023,31860,63720
mae,GridDistortion,47,0.022612664358477433,0.022414899689198055,,0.04057146527312716,0.19980669213934188,0.15923522686621472,0.1659688252982233,0.1989959492312365,31860,63720
mae,GridDistortion,48,0.02252060062326168,0.02288732264278466,,0.039192088053019325,0.194451313539993,0.15525922548697368,0.1615923677942623,0.1927372337595908,31860,63720
mae,GridDistortion,49,0.0240463471910917,0.023835493404392515,,0.04499317515902801,0.19771158573268333,0.15271841057365532,0.15991342323557325,0.19035350362515724,31860,63720
mae,GridDistortion,50,0.023288085042218146,0.02376592050148574,,0.042176402118811684,0.20088344471491926,0.15870704259610757,0.16569548186867092,0.19860312184308287,31860,63720
mae,GridDistortion,51,0.0231676363314352,0.023258952175196537,,0.042063135807517305,0.1852540991340056,0.14319096332648829,0.14947849767447333,0.17574922828613243,31860,63720
mae,GridDistortion,52,0.023292522796823784,0.023106616742004336,,0.042210126576394336,0.20021537529592315,0.1580052487195288,0.1649685939513449,0.19755974776083163,31860,63720
mae,GridDistortion,53,0.022551867156812316,0.022820160400962637,,0.03904246727411853,0.19188110028862881,0.15283863301451028,0.15904826988656154,0.18912889312339848,31860,63720
mae,GridDistortion,54,0.023880890958889754,0.02373863872517375,,0.04397065631208574,0.1945341069342824,0.15056345062219667,0.15748831520316445,0.18692715845376245,31860,63720
